user_id,session_id,page,action,timestamp,source
111,4565,Home,view,2026-03-17 12:59:00.087677,Google
111,4565,Product,click,2026-03-06 12:59:00.087723,Instagram
111,4565,Cart,click,2026-03-23 12:59:00.087743,Direct
111,4565,Checkout,view,2026-03-14 12:59:00.087759,Google
111,4565,Search,view,2026-03-11 12:59:00.087801,Direct
111,4565,Profile,scroll,2026-03-28 12:59:00.087818,Ads
106,3788,Home,scroll,2026-03-22 12:59:00.087841,Direct
106,3788,Product,view,2026-03-20 12:59:00.087855,Ads
106,3788,Cart,purchase,2026-03-20 12:59:00.087868,Ads
106,3788,Checkout,scroll,2026-03-12 12:59:00.087882,Instagram
106,3788,Search,scroll,2026-03-01 12:59:00.087895,Instagram
106,3788,Profile,purchase,2026-03-28 12:59:00.087908,Google
130,3706,Home,scroll,2026-03-12 12:59:00.087926,Instagram
130,3706,Product,scroll,2026-02-28 12:59:00.087940,Instagram
130,3706,Cart,purchase,2026-03-07 12:59:00.087952,Ads
130,3706,Checkout,purchase,2026-03-09 12:59:00.087965,Instagram
130,3706,Search,purchase,2026-03-03 12:59:00.087977,Ads
130,3706,Profile,view,2026-03-08 12:59:00.087991,Direct
178,1848,Home,scroll,2026-03-15 12:59:00.088008,Ads
178,1848,Product,view,2026-03-19 12:59:00.088022,Facebook
178,1848,Cart,scroll,2026-03-11 12:59:00.088034,Instagram
178,1848,Checkout,view,2026-03-05 12:59:00.088047,Direct
178,1848,Search,click,2026-03-06 12:59:00.088059,Instagram
178,1848,Profile,scroll,2026-02-26 12:59:00.088111,Ads
119,3750,Home,purchase,2026-03-24 12:59:00.088132,Direct
119,3750,Product,scroll,2026-02-28 12:59:00.088147,Instagram
119,3750,Cart,view,2026-02-26 12:59:00.088160,Ads
119,3750,Checkout,click,2026-03-06 12:59:00.088174,Google
119,3750,Search,scroll,2026-03-27 12:59:00.088186,Facebook
119,3750,Profile,purchase,2026-03-02 12:59:00.088200,Direct
135,4047,Home,click,2026-03-16 12:59:00.088217,Direct
135,4047,Product,purchase,2026-03-27 12:59:00.088230,Direct
135,4047,Cart,view,2026-03-13 12:59:00.088243,Direct
135,4047,Checkout,scroll,2026-03-07 12:59:00.088256,Google
135,4047,Search,view,2026-03-23 12:59:00.088269,Direct
135,4047,Profile,scroll,2026-03-01 12:59:00.088282,Google
174,3184,Home,purchase,2026-03-06 12:59:00.088299,Ads
174,3184,Product,click,2026-03-22 12:59:00.088313,Facebook
174,3184,Cart,scroll,2026-03-06 12:59:00.088326,Google
174,3184,Checkout,scroll,2026-03-17 12:59:00.088338,Facebook
174,3184,Search,purchase,2026-02-27 12:59:00.088351,Direct
174,3184,Profile,view,2026-02-26 12:59:00.088364,Facebook
121,2989,Home,view,2026-03-23 12:59:00.088382,Instagram
121,2989,Product,click,2026-03-01 12:59:00.088395,Facebook
121,2989,Cart,purchase,2026-03-03 12:59:00.088408,Instagram
121,2989,Checkout,view,2026-03-24 12:59:00.088421,Ads
121,2989,Search,scroll,2026-03-26 12:59:00.088434,Google
121,2989,Profile,click,2026-03-03 12:59:00.088446,Ads
109,4623,Home,view,2026-03-04 12:59:00.088464,Google
109,4623,Product,scroll,2026-03-09 12:59:00.088476,Ads
109,4623,Cart,purchase,2026-03-19 12:59:00.088489,Direct
109,4623,Checkout,scroll,2026-03-24 12:59:00.088503,Direct
109,4623,Search,click,2026-03-24 12:59:00.088515,Instagram
109,4623,Profile,click,2026-02-26 12:59:00.088529,Ads
84,3411,Home,click,2026-03-02 12:59:00.088546,Direct
84,3411,Product,scroll,2026-03-14 12:59:00.088559,Ads
84,3411,Cart,click,2026-03-16 12:59:00.088571,Ads
84,3411,Checkout,click,2026-03-13 12:59:00.088584,Ads
84,3411,Search,view,2026-03-24 12:59:00.088598,Facebook
84,3411,Profile,click,2026-03-23 12:59:00.088611,Direct
31,2835,Home,scroll,2026-03-06 12:59:00.088628,Google
31,2835,Product,click,2026-03-28 12:59:00.088641,Ads
31,2835,Cart,scroll,2026-03-20 12:59:00.088654,Google
31,2835,Checkout,click,2026-02-28 12:59:00.088666,Ads
31,2835,Search,view,2026-03-14 12:59:00.088679,Direct
31,2835,Profile,click,2026-03-01 12:59:00.088693,Google
198,2300,Home,scroll,2026-03-02 12:59:00.088711,Facebook
198,2300,Product,view,2026-03-09 12:59:00.088724,Ads
198,2300,Cart,purchase,2026-03-26 12:59:00.088737,Google
198,2300,Checkout,view,2026-03-02 12:59:00.088750,Direct
198,2300,Search,click,2026-03-16 12:59:00.088763,Direct
198,2300,Profile,scroll,2026-03-21 12:59:00.088803,Instagram
145,3628,Home,view,2026-02-27 12:59:00.088829,Ads
145,3628,Product,click,2026-03-13 12:59:00.088843,Facebook
145,3628,Cart,view,2026-03-13 12:59:00.088856,Ads
145,3628,Checkout,purchase,2026-03-10 12:59:00.088869,Facebook
145,3628,Search,click,2026-03-09 12:59:00.088881,Facebook
145,3628,Profile,scroll,2026-03-13 12:59:00.088897,Direct
143,4342,Home,view,2026-03-03 12:59:00.088914,Google
143,4342,Product,click,2026-03-25 12:59:00.088928,Google
143,4342,Cart,view,2026-03-05 12:59:00.088941,Direct
143,4342,Checkout,view,2026-03-09 12:59:00.088953,Ads
143,4342,Search,view,2026-03-08 12:59:00.088966,Instagram
143,4342,Profile,view,2026-03-04 12:59:00.088978,Facebook
72,2648,Home,view,2026-03-07 12:59:00.088996,Facebook
72,2648,Product,purchase,2026-03-15 12:59:00.089009,Direct
72,2648,Cart,click,2026-03-12 12:59:00.089022,Facebook
72,2648,Checkout,scroll,2026-03-10 12:59:00.089034,Ads
72,2648,Search,scroll,2026-03-02 12:59:00.089047,Instagram
72,2648,Profile,view,2026-03-18 12:59:00.089059,Instagram
127,4446,Home,scroll,2026-03-02 12:59:00.089077,Ads
127,4446,Product,view,2026-03-08 12:59:00.089091,Facebook
127,4446,Cart,view,2026-03-04 12:59:00.089104,Facebook
127,4446,Checkout,purchase,2026-03-14 12:59:00.089118,Direct
127,4446,Search,purchase,2026-03-15 12:59:00.089131,Direct
127,4446,Profile,click,2026-03-23 12:59:00.089143,Ads
79,3324,Home,purchase,2026-03-19 12:59:00.089160,Instagram
79,3324,Product,click,2026-03-20 12:59:00.089173,Instagram
79,3324,Cart,purchase,2026-03-11 12:59:00.089186,Facebook
79,3324,Checkout,click,2026-03-24 12:59:00.089198,Ads
79,3324,Search,click,2026-03-01 12:59:00.089210,Facebook
79,3324,Profile,click,2026-03-05 12:59:00.089223,Direct
89,1761,Home,view,2026-03-08 12:59:00.089240,Instagram
89,1761,Product,scroll,2026-03-20 12:59:00.089253,Facebook
89,1761,Cart,view,2026-03-11 12:59:00.089266,Ads
89,1761,Checkout,scroll,2026-03-14 12:59:00.089278,Google
89,1761,Search,view,2026-03-18 12:59:00.089291,Facebook
89,1761,Profile,click,2026-03-09 12:59:00.089304,Ads
119,1018,Home,scroll,2026-03-08 12:59:00.089321,Google
119,1018,Product,purchase,2026-03-25 12:59:00.089334,Facebook
119,1018,Cart,scroll,2026-02-26 12:59:00.089347,Ads
119,1018,Checkout,scroll,2026-03-19 12:59:00.089359,Ads
119,1018,Search,scroll,2026-03-12 12:59:00.089372,Facebook
119,1018,Profile,view,2026-03-25 12:59:00.089384,Instagram
15,1809,Home,click,2026-02-27 12:59:00.089402,Google
15,1809,Product,click,2026-03-07 12:59:00.089415,Ads
15,1809,Cart,click,2026-03-23 12:59:00.089427,Instagram
15,1809,Checkout,purchase,2026-03-17 12:59:00.089440,Google
15,1809,Search,purchase,2026-03-14 12:59:00.089453,Google
15,1809,Profile,view,2026-03-20 12:59:00.089465,Direct
163,2964,Home,purchase,2026-03-15 12:59:00.089483,Ads
163,2964,Product,scroll,2026-03-07 12:59:00.089496,Instagram
163,2964,Cart,purchase,2026-03-27 12:59:00.089509,Instagram
163,2964,Checkout,view,2026-03-03 12:59:00.089521,Google
163,2964,Search,click,2026-02-27 12:59:00.089533,Facebook
163,2964,Profile,purchase,2026-03-17 12:59:00.089546,Instagram
91,1775,Home,view,2026-03-26 12:59:00.089563,Facebook
91,1775,Product,view,2026-03-12 12:59:00.089576,Facebook
91,1775,Cart,view,2026-03-09 12:59:00.089588,Google
91,1775,Checkout,click,2026-03-09 12:59:00.089604,Ads
91,1775,Search,click,2026-03-07 12:59:00.089617,Direct
91,1775,Profile,click,2026-03-25 12:59:00.089629,Direct
18,3703,Home,scroll,2026-03-07 12:59:00.089646,Ads
18,3703,Product,scroll,2026-03-02 12:59:00.089659,Direct
18,3703,Cart,scroll,2026-03-23 12:59:00.089684,Ads
18,3703,Checkout,click,2026-03-06 12:59:00.089698,Google
18,3703,Search,scroll,2026-03-17 12:59:00.089712,Facebook
18,3703,Profile,view,2026-02-28 12:59:00.089724,Google
199,3823,Home,purchase,2026-03-19 12:59:00.089742,Facebook
199,3823,Product,view,2026-02-26 12:59:00.089756,Google
199,3823,Cart,view,2026-03-17 12:59:00.089793,Facebook
199,3823,Checkout,scroll,2026-03-04 12:59:00.089818,Direct
199,3823,Search,scroll,2026-03-17 12:59:00.089832,Facebook
199,3823,Profile,click,2026-02-26 12:59:00.089845,Ads
158,4616,Home,purchase,2026-03-17 12:59:00.089862,Facebook
158,4616,Product,scroll,2026-03-19 12:59:00.089875,Instagram
158,4616,Cart,click,2026-03-07 12:59:00.089897,Ads
158,4616,Checkout,purchase,2026-02-28 12:59:00.089912,Google
158,4616,Search,purchase,2026-03-04 12:59:00.089925,Facebook
158,4616,Profile,purchase,2026-03-08 12:59:00.089940,Direct
33,1728,Home,purchase,2026-03-09 12:59:00.089958,Google
33,1728,Product,view,2026-02-26 12:59:00.089971,Instagram
33,1728,Cart,view,2026-03-11 12:59:00.089984,Instagram
33,1728,Checkout,click,2026-03-20 12:59:00.089997,Google
33,1728,Search,scroll,2026-03-06 12:59:00.090010,Direct
33,1728,Profile,click,2026-03-01 12:59:00.090022,Facebook
131,4320,Home,purchase,2026-02-28 12:59:00.090039,Ads
131,4320,Product,view,2026-03-07 12:59:00.090052,Ads
131,4320,Cart,purchase,2026-03-05 12:59:00.090065,Google
131,4320,Checkout,view,2026-03-25 12:59:00.090078,Instagram
131,4320,Search,click,2026-03-07 12:59:00.090091,Google
131,4320,Profile,click,2026-03-18 12:59:00.090104,Facebook
46,4099,Home,purchase,2026-03-26 12:59:00.090120,Direct
46,4099,Product,click,2026-02-27 12:59:00.090133,Direct
46,4099,Cart,click,2026-03-25 12:59:00.090146,Ads
46,4099,Checkout,purchase,2026-03-19 12:59:00.090159,Google
46,4099,Search,scroll,2026-03-10 12:59:00.090173,Instagram
46,4099,Profile,purchase,2026-02-26 12:59:00.090185,Facebook
28,4853,Home,view,2026-03-08 12:59:00.090202,Ads
28,4853,Product,view,2026-03-21 12:59:00.090215,Direct
28,4853,Cart,scroll,2026-03-08 12:59:00.090228,Google
